@relation 'lineCommentData-weka.filters.unsupervised.attribute.Remove-R41,45-46,50-57,61,65-66,73,81,85-86,103-106,110-weka.filters.unsupervised.attribute.Remove-R30-34,37,40-43,49-52,56-62,65-68-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-26-weka.filters.unsupervised.attribute.Remove-R26-42,51-71-weka.filters.unsupervised.attribute.Remove-R27'

@attribute commentID numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute tokenChange numeric
@attribute wordSize numeric
@attribute codeSimilarity numeric
@attribute oldCodeCommentSimilarity numeric
@attribute newCodeCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute addWordNumber numeric
@attribute deleteWordNumber numeric
@attribute class {0,1}

@data
330,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,2,1,6,9,5,5,0,0,3,0
459,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,6,1,6,10,4,4,0,0,4,0
624,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,5,0,1,2,5,1,6,9,4,4,2,0,6,0
888,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,11,2,1,6,9,4,4,0,0,4,0
984,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,6,9,7,7,0,2,3,0
1134,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,6,9,7,7,0,2,3,0
1431,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,2,1,6,9,4,4,0,0,3,0
1434,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,2,6,1,6,10,5,5,1,0,1,0
1440,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,4,0,1,3,1,1,4,11,8,8,0,0,1,0
1452,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,6,11,4,4,0,0,0,0
1455,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,4,4,0,3,8,1,0,3,10,6,5,16,1,1,0
1458,2,0,0,2,7,0,0,0,0,1,4,0,0,0,0,0,0,8,8,0,2,1,6,0,4,11,8,8,0,0,0,0
1461,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,5,0,1,2,4,0,3,9,6,6,0,1,1,0
1467,7,4,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,8,8,4,7,4,8,0,4,10,8,8,0,2,0,0
1470,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,5,1,6,10,7,7,0,1,1,0
1476,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,11,1,1,5,11,7,7,0,0,0,0
1479,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,1,3,11,4,4,0,0,0,0
1488,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,0,6,10,9,9,0,1,3,0
1497,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,2,8,10,1,0,6,10,9,9,0,0,2,0
1500,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,7,1,5,10,9,9,0,3,0,0
1503,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,3,1,6,9,4,5,9,3,0,0
1506,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,7,1,7,10,7,7,2,3,0,0
1509,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,2,1,8,9,4,4,1,3,0,0
1512,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,7,9,6,6,4,3,0,0
1518,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,1,1,2,9,3,6,24,3,0,0
1527,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,7,7,0,3,2,6,1,4,10,8,8,0,0,1,0
1530,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,7,7,0,4,2,6,1,4,10,8,8,0,0,1,0
1533,6,6,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,6,7,8,0,6,0,6,8,6,8,20,7,0,0
1539,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,6,0,1,2,1,1,4,10,4,4,0,1,0,0
1542,6,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,8,8,0,6,2,1,1,6,10,7,7,0,1,0,0
1545,4,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,8,8,0,4,2,4,1,6,10,7,7,0,1,0,0
1554,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,6,1,2,10,1,2,6,3,0,0
1560,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,2,1,3,10,3,3,0,3,0,0
1563,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,8,8,0,6,2,2,1,6,10,8,8,0,3,0,0
1566,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,8,0,4,2,2,1,4,10,6,6,3,3,0,0
1569,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,5,1,5,10,6,6,0,2,0,0
1578,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,8,8,0,1,1,8,1,7,10,8,8,0,1,0,0
1581,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,4,0,1,3,2,0,6,10,7,7,0,1,0,0
1590,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,5,0,1,2,3,1,7,10,6,6,0,1,1,0
1596,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,3,0,1,4,2,0,7,10,6,6,0,1,0,0
1602,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,3,0,1,4,1,0,2,10,6,6,0,1,0,0
1605,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,0,6,11,9,9,0,0,0,0
1611,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,2,1,8,0,6,10,5,5,0,2,0,0
1614,3,0,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0,3,6,3,5,0,3,0,7,11,6,6,0,0,0,0
1620,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,7,1,6,10,7,7,0,0,1,0
1623,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,7,1,3,10,9,9,0,0,1,0
1626,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,6,1,3,10,6,6,0,0,1,0
1629,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,8,0,6,0,3,10,7,7,0,6,0,0
1641,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,8,8,2,7,5,6,0,7,10,7,7,0,1,0,0
1647,6,2,3,4,5,2,3,0,0,0,0,0,0,0,0,0,0,8,7,7,8,8,6,0,4,9,8,8,0,7,5,0
1653,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,6,0,1,1,2,0,6,10,4,4,0,0,1,0
1659,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,1,8,0,6,10,5,5,0,1,0,0
1668,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,2,2,7,0,8,9,6,7,4,6,0,1
1677,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,6,6,0,6,9,1,1,6,11,3,3,0,0,0,0
1680,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,8,8,0,1,1,2,1,7,10,10,10,0,1,1,0
1686,7,4,3,2,2,5,4,0,0,0,0,2,2,0,0,0,0,8,8,2,7,4,7,0,3,9,9,9,0,4,5,1
1689,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,6,1,5,10,6,6,0,1,1,0
1701,6,1,1,6,9,0,0,0,0,5,5,0,0,0,0,0,0,8,8,2,8,10,1,0,8,10,10,10,0,1,0,0
1704,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,3,1,5,10,7,7,0,0,1,0
1710,6,5,5,4,4,0,0,0,0,3,3,0,0,0,0,0,0,8,8,6,7,6,1,0,6,9,8,8,2,7,0,1
1722,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,7,1,5,10,8,8,0,1,1,0
1728,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,7,9,6,7,6,1,2,0
1731,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,1,1,6,10,5,5,0,0,1,0
1734,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,7,10,1,1,2,10,11,11,0,1,1,0
1737,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,7,7,0,6,4,6,1,6,10,8,8,3,1,1,1
1740,2,0,0,1,4,1,4,0,0,1,4,0,0,0,0,0,0,8,8,6,2,1,6,0,4,10,8,8,0,2,1,0
1746,6,1,2,0,0,4,6,0,0,0,0,1,2,0,0,0,0,8,8,1,6,3,8,0,4,10,7,5,13,4,2,0
1749,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,1,7,1,4,10,8,7,10,2,2,0
1752,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,8,7,4,2,1,6,0,5,10,6,6,0,1,0,1
1758,6,5,7,1,2,0,0,0,0,0,0,0,0,1,2,0,0,7,6,6,7,0,1,0,5,10,10,10,0,0,1,0
1764,3,2,5,1,3,0,0,1,3,0,0,0,0,0,0,0,0,8,8,0,7,7,3,0,2,10,8,8,0,2,0,0
1773,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,8,0,4,10,9,9,0,1,0,0
1776,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,8,8,0,3,1,8,0,4,10,8,8,0,3,0,0
1785,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,1,1,2,0,7,9,8,8,2,6,0,0
1791,4,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,6,1,8,0,8,10,8,8,0,4,1,0
1797,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,3,8,8,6,0,4,10,11,11,0,1,0,0
1800,5,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,7,7,0,6,6,2,1,6,11,8,8,0,0,0,0
1803,7,5,4,3,3,3,3,0,0,0,0,1,1,0,0,0,0,7,7,3,8,0,3,0,7,10,6,6,0,1,1,1
1809,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,7,1,6,11,5,5,0,0,0,0
1821,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,7,7,0,4,3,3,1,4,10,8,8,0,1,1,0
1824,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,8,6,4,2,3,1,4,10,8,8,0,1,7,0
1827,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,7,10,1,1,2,10,11,11,0,1,2,0
1842,4,2,4,0,0,1,2,0,0,0,0,0,0,1,2,0,0,8,8,2,7,6,7,0,5,10,9,9,0,2,0,0
1845,6,5,8,1,2,0,0,1,2,0,0,0,0,0,0,0,0,6,4,5,8,0,2,0,6,8,10,10,5,7,0,0
1848,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,8,1,8,10,8,8,0,2,1,0
1851,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,7,6,1,3,3,6,1,3,10,11,11,0,4,2,0
1854,8,7,4,6,3,6,4,0,0,2,1,0,0,0,0,0,0,8,8,3,8,9,6,1,3,10,11,11,0,7,6,0
1869,2,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,2,1,2,7,2,0,4,9,3,4,12,5,0,0
1875,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,0,5,10,10,10,0,1,0,0
1881,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,7,1,4,11,8,8,0,0,0,0
1911,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,7,1,3,10,7,7,0,1,1,0
1914,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,1,1,6,0,3,10,3,3,0,1,0,0
1932,2,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6,5,1,2,4,2,0,2,8,5,11,50,6,1,0
1935,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,6,1,3,10,11,11,0,1,1,0
1938,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,6,1,4,10,11,11,0,2,2,0
1941,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,6,1,6,10,11,11,0,2,2,0
1947,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,1,1,4,11,11,11,0,0,0,0
1950,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,1,1,3,11,11,11,0,0,0,0
1959,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,7,0,6,11,9,9,0,0,0,0
1968,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,1,1,1,6,11,11,11,0,0,0,0
1971,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,6,0,4,11,8,8,0,0,0,0
1974,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,7,1,4,11,11,11,0,0,0,0
1980,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,3,1,8,1,3,11,11,11,0,0,0,0
1986,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,8,8,0,7,8,4,0,8,11,6,6,0,0,0,1
1989,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,8,8,0,1,1,8,0,3,10,6,6,0,1,0,0
1998,6,3,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,6,1,3,10,11,11,0,2,1,0
2004,6,3,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,6,1,3,10,11,11,0,2,1,0
2007,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,2,1,1,3,10,11,11,0,1,0,0
2010,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,2,1,1,3,10,11,11,0,1,0,0
2013,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,8,1,7,10,9,9,0,1,0,0
